feature_id,post_id,item_id,is_primary_item
1,1,203,True
2,1,4,False
3,1,192,False
4,2,293,True
5,3,65,True
6,4,196,True
7,4,13,False
8,4,67,False
9,5,12,True
10,5,297,False
11,5,53,False
12,6,250,True
13,7,248,True
14,7,280,False
15,8,138,True
16,9,202,True
17,9,53,False
18,10,231,True
19,11,191,True
20,12,39,True
21,12,294,False
22,13,296,True
23,14,205,True
24,14,41,False
25,15,6,True
26,16,195,True
27,16,139,False
28,16,88,False
29,17,248,True
30,17,116,False
31,17,48,False
32,18,107,True
33,18,271,False
34,19,85,True
35,19,158,False
36,20,44,True
37,20,182,False
38,20,221,False
39,21,266,True
40,21,222,False
41,22,201,True
42,22,202,False
43,23,157,True
44,23,123,False
45,23,88,False
46,24,181,True
47,24,243,False
48,24,299,False
49,25,132,True
50,25,250,False
51,25,130,False
52,26,221,True
53,26,185,False
54,26,106,False
55,27,176,True
56,27,63,False
57,27,222,False
58,28,34,True
59,28,151,False
60,29,45,True
61,30,155,True
62,30,160,False
63,31,224,True
64,31,50,False
65,32,298,True
66,33,290,True
67,33,247,False
68,34,103,True
69,34,59,False
70,35,95,True
71,35,121,False
72,36,149,True
73,36,52,False
74,37,228,True
75,37,22,False
76,37,182,False
77,38,289,True
78,38,174,False
79,38,236,False
80,39,179,True
81,39,300,False
82,39,207,False
83,40,197,True
84,40,216,False
85,40,33,False
86,41,147,True
87,41,116,False
88,42,271,True
89,43,61,True
90,44,257,True
91,44,160,False
92,44,205,False
93,45,169,True
94,45,32,False
95,45,121,False
96,46,156,True
97,46,117,False
98,47,61,True
99,47,189,False
100,48,128,True
101,48,30,False
102,48,40,False
103,49,254,True
104,50,211,True
105,50,249,False
106,51,197,True
107,51,154,False
108,52,14,True
109,52,173,False
110,53,218,True
111,53,294,False
112,54,129,True
113,54,7,False
114,54,64,False
115,55,142,True
116,56,59,True
117,57,23,True
118,57,121,False
119,57,180,False
120,58,192,True
121,58,241,False
122,58,151,False
123,59,17,True
124,59,77,False
125,59,196,False
126,60,100,True
127,60,295,False
128,61,248,True
129,61,118,False
130,61,230,False
131,62,254,True
132,62,102,False
133,62,93,False
134,63,182,True
135,63,66,False
136,64,224,True
137,64,149,False
138,64,245,False
139,65,253,True
140,65,175,False
141,66,161,True
142,66,51,False
143,66,178,False
144,67,21,True
145,68,62,True
146,69,263,True
147,69,38,False
148,70,193,True
149,71,223,True
150,72,249,True
151,72,251,False
152,72,201,False
153,73,204,True
154,73,66,False
155,74,227,True
156,74,218,False
157,75,11,True
158,75,195,False
159,75,47,False
160,76,128,True
161,76,7,False
162,76,19,False
163,77,68,True
164,77,139,False
165,78,235,True
166,78,104,False
167,79,280,True
168,79,56,False
169,80,128,True
170,80,43,False
171,80,73,False
